Book,Total Paragraphs,Paragraphs (100-250 words)
"141_The-Prince-and-the-Pauper,-Part-5..txt",197,19
"142_The-Prince-and-the-Pauper,-Part-6..txt",159,25
"143_The-Prince-and-the-Pauper,-Part-7..txt",193,14
"144_The-Prince-and-the-Pauper,-Part-8..txt",135,25
"145_The-Prince-and-the-Pauper,-Part-9..txt",201,28
146_The-Prince-and-the-Pauper.txt,1637,178
147_The-Stolen-White-Elephant.txt,203,14
148_The-Tragedy-of-Pudd'nhead-Wilson.txt,1059,136
"149_The-Treaty-With-China,-its-Provisions-ExplainedNew-York-Tribune,-Tuesday,-August-28,-1868.txt",22,6
150_Those-Extraordinary-Twins.txt,573,41
151_Tom-Sawyer-Abroad.txt,716,97
"152_Tom-Sawyer,-Detective.txt",502,69
153_What-Is-Man?-and-Other-Essays.txt,1919,242
