class,text_file_name,author,word_count,ttr,hapax_ratio,zipf_alpha,zipf_mape,avg_parse_depth,adj_noun_ratio,noun_verb_ratio,adverb_verb_ratio,em_dash_freq,semicolon_freq,colon_freq,exclamation_freq,double_quote_freq,flesch_kincaid_grade
Class 3: AI-mimicry,TWAIN_The-Innocents-Abroad-—-Volume-04_T05_01.txt,Mark Twain,167,,0.831858407079646,2.6134948174633195,15.201258182234634,6.75,0.5588235294117647,1.619047619047619,0.5238095238095238,1.1560693641618498,1.1560693641618498,0.0,1.1560693641618498,0.0,8.306219512195124
Class 3: AI-mimicry,"TWAIN_Sketches-New-and-Old,-Part-3._T04_02.txt",Mark Twain,164,,0.8235294117647058,2.407420379239566,25.126014493993903,8.166666666666666,0.4878048780487805,2.05,0.5,0.0,0.0,0.0,0.0,0.0,13.682300613496931
Class 3: AI-mimicry,TWAIN_Sketches-New-and-Old_T03_02.txt,Mark Twain,204,,0.8455882352941176,2.708435225832795,13.265313697534204,9.0,0.3333333333333333,1.6551724137931034,0.3448275862068966,1.7825311942959001,0.0,0.0,0.0,0.0,14.705355329949239
Class 3: AI-mimicry,"TWAIN_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25_T05_01.txt",Mark Twain,169,,0.8584905660377359,2.551848893343288,7.369140683708622,7.375,0.2619047619047619,1.75,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,9.351944444444445
Class 3: AI-mimicry,"TWAIN_Eve's-Diary,-Complete_T04_01.txt",Mark Twain,182,,0.7211538461538461,2.701943761802921,7.901427696437777,8.833333333333334,0.37142857142857144,1.5217391304347827,0.34782608695652173,2.2099447513812156,1.1049723756906078,0.0,0.0,0.0,11.833000000000002
Class 3: AI-mimicry,"TWAIN_Roughing-It,-Part-3._T03_01.txt",Mark Twain,179,,0.848,2.566278963708519,11.580283379720568,8.8,0.2558139534883721,1.72,0.36,1.088139281828074,0.0,0.0,0.0,0.0,13.357318181818183
Class 3: AI-mimicry,"TWAIN_Roughing-It,-Part-3._T02_01.txt",Mark Twain,172,,0.8245614035087719,2.2777219567415297,22.06038843522484,8.333333333333334,0.3333333333333333,3.5,1.0833333333333333,1.0593220338983051,0.0,0.0,0.0,0.0,13.129911242603551
Class 3: AI-mimicry,TWAIN_Extract-from-Captain-Stormfield's-Visit-to-Heaven_T05_02.txt,Mark Twain,105,,0.8795180722891566,,,8.0,0.36,1.7857142857142858,0.07142857142857142,3.3840947546531304,1.6920473773265652,0.0,0.0,0.0,13.184232673267328
Class 3: AI-mimicry,TWAIN_Following-the-Equator:-A-Journey-Around-the-World.-Part-4_T05_02.txt,Mark Twain,181,,0.8650793650793651,2.7960026266121187,20.580797367337496,7.375,0.47368421052631576,1.4615384615384615,0.3076923076923077,2.055498458376156,1.027749229188078,0.0,0.0,0.0,10.28772727272727
Class 3: AI-mimicry,TWAIN_The-Innocents-Abroad-—-Volume-06_T03_02.txt,Mark Twain,165,,0.8677685950413223,2.2252387142396017,9.229126400309264,7.4,0.4444444444444444,1.44,0.32,1.0706638115631693,1.0706638115631693,0.0,0.0,0.0,15.037358024691361
